ISBN;TITOLO;ANNO PUBBLICAZIONE;DATA AGGIUNTA;GENERE;TIPO;AUTORE/I;EDITORE;COLLANA;LINGUA;NUMERO COPIE;PREZZO;SCAFFALE;RIPIANO;
N/D;"opportunità occupazionali e creazione di impresanella gestione dei rifiuti ";2000;N/D;attualità;N/D;Viale Guido;N/D;Quaderni di Italia lavoro;italiano;1;N/D;3;1;
N/D;soluzione e impiego di modelli econometrici;1974;N/D;attualità;N/D;Parenti Giuseppe;Il Mulino;N/D;italiano;1;3500 lire;3;1;
N/D;Un governo eretto dal popolo;1959;N/D;attualità;N/D;aavv;Usis;N/D;italiano;2;N/D;3;1;
N/D;Ricerca sull'integrazione e l'accoglienza dei minori stranieri nelle scuole della provincia di Latina;2007;N/D;attualità;N/D;aavv;N/D;N/D;italiano;2;N/D;3;1;
N/D;Il dilemma energetico;1975;N/D;attualità;N/D;Zorzoli ;Feltrinelli;Nuovi testi;italiano;1;2200 lire;3;1;
8881841150;Il piano di emergenza;1997;N/D;attualità;N/D;Ruggieri,Marinelli;Epc;Sicurezza;italiano;1;30000 lire;3;1;
881812031x;La protezione civile oggi;1987;N/D;attualità;N/D;Pastorelli Elveno;Rusconi;N/D;italiano;1;24000 lire;3;1;
8830708674;Occhi per l'Africa;1999;N/D;attualità;N/D;Sesana;Emi;N/D;italiano;1;N/D;3;1;
8870317404;Tra uomini ;1993;N/D;attualità;N/D;schellenbaum;red edizioni;Immagini del profondo;italiano;1;39000 lire;3;1;
N/D;il fondo mondiale di solidarietà;N/D;N/D;attualità;rivista;aa vv;N/D;N/D;italiano;1;N/D;3;1;
N/D;lezione di educazione stradale;2007;N/D;attualità;rivista;sangalli roberto;le monnier;scuola e azienda;italiano;1;N/D;3;1;
9788842087229;Fragile e spavaldo ritratto dell'adolescente di oggi;2009;N/D;attualità;Saggio;Pietropolli;Laterza;Saggi tascabili;italiano;1;€ 10,00;3;1;
9771129085087;Inglesi;2001;N/D;attualità;N/D;Severgnini Beppe;Bur;I bestseller 2001;italiano;1;7900 lire;3;1;
N/D;L'educazione sanitaria;1978;N/D;attualità;raccolta di documenti;aavv;Le Monnier;Studi e documenti degli annali della pubblica istruzione;italiano;1;2700 lire;3;1;
N/D;L'euro e le tasse;2001;N/D;attualità;Saggio;Santacroce,mobili;N/D;L'euro;italiano;1;N/D;3;1;
35405898880;Gear motor handbook;1995;N/D;attualità;Saggio;aavv;Springer;N/D;inglese;2;N/D;3;1;
N/D;dentro il senato della repubblica;2010;N/D;attualità;saggio;aa vv;senato della repubblica;N/D;italiano;1;N/D;3;1;
15943674;Scenari dell'allargamento dell'unione europea;2007;N/D;attualità;Saggio;aavv;Formez;Strumenti;italiano;1;N/D;3;1;
9788864800523;Osservatorio romano sulle migrazioni;2016;N/D;attualità;Saggio;aa.vv;Idos;N/D;italiano;1;€ 20,00;3;1;
8887731144;Popolazione, ambiente e sviluppo;2002;N/D;attualità;Saggio;aa.vv;21 Secolo;N/D;italiano;2;N/D;3;1;
N/D;Carta dei diritti fondamentali dell'Unione Europea;N/D;N/D;attualità;N/D;N/D;N/D;N/D;italiano;1;N/D;3;1;
N/D;La cultura della legalità;2010;N/D;attualità;Saggio;aa.vv;N/D;N/D;italiano;1;N/D;3;1;
N/D;La Costituzione della Repubblica Italiana;2008;N/D;attualità;Raccolta di leggi;aa.vv;Luigi Tarantola;N/D;italiano;1;N/D;3;1;
N/D;<<quando lo sciopero?>>;1981;N/D;attualità;Raccolta di Documenti;aa.vv;N/D;N/D;italiano;1;23000 lire;3;1;
8804373792;Zilgrei;1980;N/D;attualità;N/D;Greissing , Zillo;Mondatori;Oscar Mondatori;italiano;1;13000 lire;3;1;
N/D;Mai prima di mezzanotte;2000;N/D;attualità;Saggio;Gruppo Adele;Ega;N/D;italiano;1;N/D;3;1;
N/D;vita italiana;1997;N/D;attualità;saggio;aa vv;presidenza del consiglio dei ministri;N/D;italiano;1;N/D;3;1;
